combo,entry_time,exit_time,side,entry_price,exit_price,pnl_bps,reason,btc_trend
BTC_1h_EMA50/200,2026-03-09 05:00:00,2026-03-09 09:30:00,SHORT,1.3435,1.3622516568865086,-139.57318114260295,SL,DOWN
BTC_1h_EMA50/200,2026-03-09 22:15:00,2026-03-10 02:30:00,SHORT,1.3688,1.3888464038443278,-146.45239512220752,SL,DOWN
BTC_1h_EMA50/200,2026-03-10 06:45:00,2026-03-10 08:30:00,SHORT,1.3795,1.3991846369719867,-142.69399762223085,SL,DOWN
BTC_1h_EMA50/200,2026-03-11 01:00:00,2026-03-12 14:45:00,LONG,1.3877,1.3639285577985076,-171.30101752174318,SL,UP
BTC_1h_EMA50/200,2026-03-14 02:00:00,2026-03-15 21:30:00,LONG,1.3994,1.4297765368324578,217.0682923571372,TP,UP
BTC_1h_EMA50/200,2026-03-16 03:00:00,2026-03-16 03:30:00,LONG,1.4423,1.4706014608662294,196.2245085365703,TP,UP
BTC_1h_EMA50/200,2026-03-16 10:00:00,2026-03-16 14:45:00,LONG,1.4734,1.5071831736040144,229.28718341261293,TP,UP
BTC_1h_EMA50/200,2026-03-17 07:30:00,2026-03-17 10:15:00,LONG,1.5374,1.5024493824561822,-227.3358757891108,SL,UP
BTC_1h_EMA50/200,2026-03-17 15:00:00,2026-03-18 12:15:00,LONG,1.5116,1.481003841330815,-202.40909413326918,SL,UP
BTC_1h_EMA50/200,2026-03-18 18:00:00,2026-03-19 15:15:00,LONG,1.4556,1.4304474834965981,-172.79827221353318,SL,UP
BTC_1h_EMA50/200,2026-03-22 13:45:00,2026-03-22 21:00:00,SHORT,1.3969,1.3739780110400595,164.0918387854576,TP,DOWN
BTC_1h_EMA50/200,2026-03-23 00:00:00,2026-03-23 11:00:00,SHORT,1.3841,1.399679671074202,-112.56174462973769,SL,DOWN
BTC_1h_EMA50/200,2026-03-23 16:00:00,2026-03-24 16:30:00,SHORT,1.4307,1.3907515789566998,279.22290517439234,TP,DOWN
BTC_1h_EMA50/200,2026-03-26 23:30:00,2026-03-27 10:30:00,SHORT,1.3598,1.333346357440189,194.54068657016455,TP,DOWN
BTC_1h_EMA50/200,2026-03-27 22:15:00,2026-03-28 05:30:00,SHORT,1.3236,1.3392978273004088,-118.59948096410317,SL,DOWN
BTC_1h_EMA50/200,2026-03-28 10:30:00,2026-03-28 13:30:00,SHORT,1.3358,1.3477460014438563,-89.42956613157776,SL,DOWN
